timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694874684553,789, Create Eng Item of Invertor Type,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,2462,8869,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/collabServices/authoring/createContent/Create?tenant=R1132100512396&typeName=assembly&select=type&select=physicalid&select=cestamp&parsed=true&activeFolder=false&&xrequestedwith=xmlhttprequest,789,0,0
1694874685347,171,Create Eng Item of V6 Type of 3DPart,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1148,10712,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/collabServices/authoring/createContent/Create?tenant=R1132100512396&typeName=component&select=type&select=physicalid&select=cestamp&parsed=true&xrequestedwith=xmlhttprequest,171,0,0
1694874682036,3438,pre-req for Case4,200,"Number of samples in transaction : 5, number of failing samples : 0",GetSetPosition EngInstance Scenario 1-1,,true,,9760,38110,1,1,null,3437,48,0
1694874685523,967,TestStep11:Set Matrix Position For Different Types Of Engineering instance,500,,GetSetPosition EngInstance Scenario 1-1,text,false,Set Position of Eng Instance Failure with position mask!!!,937,3778,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,967,0,0
1694874686518,282,TestStep12:Get Matrix Position For Different Types Of All Engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,false,Expected a11 is <4> but we got instead:totalitems_KO,860,738,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,282,0,0
1694874686828,148,TestStep13:Modify Matrix Position For V5Child Engineering instance,404,,GetSetPosition EngInstance Scenario 1-1,text,false,Modify Position of Eng Instance Failure with position mask!!!,900,1114,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance/instID1_KO?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,148,0,0
1694874687007,102,TestStep14:Get Matrix Position For V5Child Engineering instance,404,,GetSetPosition EngInstance Scenario 1-1,text,false,Modify Position of Eng Instance Failure with position mask!!!,900,749,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance/instID1_KO?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,102,0,0
1694874687140,143,TestStep15:Modify Matrix Position For SLWChild Engineering instance,404,,GetSetPosition EngInstance Scenario 1-1,text,false,Modify Position of Eng Instance Failure with position mask!!!,900,1113,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance/instID2_KO?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,143,0,0
1694874687311,156,TestStep16:Get Matrix Position For SLWChild Engineering instance,404,,GetSetPosition EngInstance Scenario 1-1,text,false,Modify Position of Eng Instance Failure with position mask!!!,900,749,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance/instID2_KO?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,156,0,0
1694874687496,149,TestStep17:Modify Matrix Position For InventorChild Engineering instance,404,,GetSetPosition EngInstance Scenario 1-1,text,false,Modify Position of Eng Instance Failure with position mask!!!,900,1113,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance/instID3_KO?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,149,0,0
